# NOTE: PARTIAL RUN -- see bbf/README.md; sweep was still in progress at commit time
  line     3  DECIDED  n>=2  1 branch(es)  [1/105, 10/3, 27/110, 35/2, 33/5]
  line     4  DECIDED  n>=2  1 branch(es)  [1/105, 10/3, 27/110, 49/2, 33/7]
  line    27  DECIDED  n>=2  1 branch(es)  [1/105, 15/22, 4/3, 35/2, 363/5]
  line    29  DECIDED  n>=2  1 branch(es)  [1/105, 15/22, 4/3, 49/2, 363/7]
  line    40  DECIDED  n>=2  1 branch(es)  [1/105, 2/3, 45/22, 49/2, 363/7]
  line    43  DECIDED  n>=2  1 branch(es)  [1/105, 2/3, 675/22, 49/2, 33/7]
  line    44  DECIDED  n>=2  1 branch(es)  [1/105, 20/3, 3/22, 49/2, 2662/7]
  line    45  DECIDED  n>=2  1 branch(es)  [1/105, 20/3, 3/22, 49/2, 363/7]
  line    52  DECIDED  n>=2  1 branch(es)  [1/105, 20/3, 9/44, 49/2, 33/7]
  line    61  DECIDED  n>=2  1 branch(es)  [1/105, 27/110, 10/3, 35/2, 33/5]
  line    62  DECIDED  n>=2  1 branch(es)  [1/105, 27/110, 10/3, 49/2, 33/7]
  line    65  DECIDED  n>=2  1 branch(es)  [1/105, 3/22, 20/3, 49/2, 2662/7]
  line    66  DECIDED  n>=2  1 branch(es)  [1/105, 3/22, 20/3, 49/2, 363/7]
  line    72  DECIDED  n>=2  1 branch(es)  [1/105, 33/2, 4/15, 49/11, 375/7]
  line    74  DECIDED  n>=2  1 branch(es)  [1/105, 363/2, 4/15, 7/11, 375/7]
  line    75  DECIDED  n>=2  1 branch(es)  [1/105, 4/15, 33/2, 49/11, 375/7]
  line    76  DECIDED  n>=2  1 branch(es)  [1/105, 4/15, 363/2, 7/11, 375/7]
  line    81  DECIDED  n>=2  1 branch(es)  [1/105, 4/3, 15/22, 35/2, 363/5]
  line    83  DECIDED  n>=2  1 branch(es)  [1/105, 4/3, 15/22, 49/2, 363/7]
  line    87  DECIDED  n>=1  1 branch(es)  [1/105, 4/3, 45/44, 7/2, 363/7]
  line    89  DECIDED  n>=1  1 branch(es)  [1/105, 4/3, 75/22, 35/2, 363/5]
  line    91  DECIDED  n>=2  1 branch(es)  [1/105, 40/3, 15/22, 35/2, 33/5]
  line    92  DECIDED  n>=2  1 branch(es)  [1/105, 40/3, 15/22, 49/2, 33/7]
  line    98  DECIDED  n>=2  1 branch(es)  [1/105, 45/22, 2/3, 49/2, 363/7]
  line   102  DECIDED  n>=1  1 branch(es)  [1/105, 45/22, 4/5, 21/2, 605/3]
  line   105  DECIDED  n>=1  1 branch(es)  [1/105, 45/44, 4/3, 7/2, 363/7]
  line   118  DECIDED  n>=2  1 branch(es)  [1/105, 675/22, 2/3, 49/2, 33/7]
  line   119  DECIDED  n>=2  1 branch(es)  [1/105, 72/5, 5/22, 49/2, 55/7]
  line   121  DECIDED  n>=2  1 branch(es)  [1/105, 8/3, 75/22, 49/2, 33/7]
  line   137  DECIDED  n>=2  1 branch(es)  [1/105, 9/44, 20/3, 49/2, 33/7]
  line   144  DECIDED  n>=2  1 branch(es)  [1/1155, 15/2, 4/21, 11/3, 1029/5]
  line   147  DECIDED  n>=2  1 branch(es)  [1/1155, 4/15, 21/2, 11/3, 375/7]
  line   153  DECIDED  n>=1  1 branch(es)  [1/12, 125/2, 18/35, 11/5, 28/11]
  line   154  DECIDED  n>=1  1 branch(es)  [1/12, 125/2, 6/35, 11/5, 196/11]
  line   156  DECIDED  n>=1  1 branch(es)  [1/12, 175/2, 18/55, 7/5, 44/7]
  line   172  DECIDED  n>=1  1 branch(es)  [1/12, 25/2, 18/35, 121/5, 28/11]
  line   173  DECIDED  n>=1  1 branch(es)  [1/12, 25/2, 198/35, 11/5, 28/11]
  line   176  DECIDED  n>=1  1 branch(es)  [1/12, 25/2, 6/35, 11/5, 196/11]
  line   177  DECIDED  n>=1  1 branch(es)  [1/12, 25/2, 6/35, 121/5, 196/11]
  line   178  DECIDED  n>=1  1 branch(es)  [1/12, 25/2, 6/35, 363/5, 28/11]
  line   520  DECIDED  n>=1  2 branch(es)  [1/15, 12/77, 343/3, 25/49, 33/2]
  line   521  DECIDED  n>=1  1 branch(es)  [1/15, 12/77, 343/3, 5/49, 363/2]
  line   535  DECIDED  n>=0  1 branch(es)  [1/15, 1372/3, 3/539, 5/7, 363/2]
  line   536  DECIDED  n>=0  1 branch(es)  [1/15, 1372/3, 3/77, 25/49, 33/2]
  line   630  DECIDED  n>=0  1 branch(es)  [1/15, 18/539, 196/3, 5/7, 33/2]
  line   647  DECIDED  n>=0  1 branch(es)  [1/15, 196/3, 18/539, 5/7, 33/2]
  line   653  DECIDED  n>=0  1 branch(es)  [1/15, 196/3, 9/1078, 5/7, 33/2]
  line   656  DECIDED  n>=0  1 branch(es)  [1/15, 196/3, 9/539, 5/7, 33/2]
  line   765  DECIDED  n>=0  1 branch(es)  [1/15, 27/385, 70/3, 5/7, 363/2]
  line   769  DECIDED  n>=0  1 branch(es)  [1/15, 27/539, 98/3, 5/7, 99/2]
  line   846  DECIDED  n>=0  2 branch(es)  [1/15, 3/539, 1372/3, 5/7, 363/2]
  line   874  DECIDED  n>=1  2 branch(es)  [1/15, 3/77, 1372/3, 25/49, 33/2]
  line   895  DECIDED  n>=1  1 branch(es)  [1/15, 3/77, 686/3, 5/49, 363/2]
  line   897  DECIDED  n>=1  1 branch(es)  [1/15, 3/77, 686/3, 5/49, 9317/2]
  line   899  DECIDED  n>=1  2 branch(es)  [1/15, 3/77, 686/3, 50/49, 33/2]
  line   926  DECIDED  n>=0  1 branch(es)  [1/15, 343/3, 12/77, 25/49, 33/2]
  line   927  DECIDED  n>=0  1 branch(es)  [1/15, 343/3, 12/77, 5/49, 363/2]
  line   929  DECIDED  n>=0  1 branch(es)  [1/15, 343/3, 6/77, 5/49, 363/2]
  line   931  DECIDED  n>=0  1 branch(es)  [1/15, 343/3, 6/77, 50/49, 33/2]
  line   938  DECIDED  n>=0  1 branch(es)  [1/15, 36/539, 98/3, 5/7, 33/2]
  line  1064  DECIDED  n>=0  1 branch(es)  [1/15, 5/231, 588/5, 3/7, 605/2]
  line  1077  DECIDED  n>=2  1 branch(es)  [1/15, 54/77, 7/3, 5/49, 363/2]
  line  1109  DECIDED  n>=1  1 branch(es)  [1/15, 6/77, 343/3, 5/49, 363/2]
  line  1111  DECIDED  n>=1  2 branch(es)  [1/15, 6/77, 343/3, 50/49, 33/2]
  line  1117  DECIDED  n>=1  2 branch(es)  [1/15, 6/77, 686/3, 25/49, 33/2]
  line  1145  DECIDED  n>=0  1 branch(es)  [1/15, 686/3, 3/77, 5/49, 363/2]
  line  1147  DECIDED  n>=1  1 branch(es)  [1/15, 686/3, 3/77, 5/49, 9317/2]
  line  1149  DECIDED  n>=0  1 branch(es)  [1/15, 686/3, 3/77, 50/49, 33/2]
  line  1150  DECIDED  n>=0  1 branch(es)  [1/15, 686/3, 6/77, 25/49, 33/2]
  line  1172  DECIDED  n>=2  1 branch(es)  [1/15, 7/3, 54/77, 5/49, 363/2]
  line  1187  DECIDED  n>=0  1 branch(es)  [1/15, 70/3, 27/385, 5/7, 363/2]
  line  1238  DECIDED  n>=0  1 branch(es)  [1/15, 9/1078, 196/3, 5/7, 33/2]
  line  1270  DECIDED  n>=0  1 branch(es)  [1/15, 9/539, 196/3, 5/7, 33/2]
  line  1276  DECIDED  n>=0  1 branch(es)  [1/15, 9/539, 98/3, 5/7, 1089/2]
  line  1349  DECIDED  n>=0  1 branch(es)  [1/15, 98/3, 27/539, 5/7, 99/2]
  line  1361  DECIDED  n>=0  1 branch(es)  [1/15, 98/3, 36/539, 5/7, 33/2]
  line  1370  DECIDED  n>=0  1 branch(es)  [1/15, 98/3, 9/539, 5/7, 1089/2]
  line  1400  DECIDED  n>=0  1 branch(es)  [1/15, 980/3, 3/385, 5/7, 363/2]
    ... 1400/21233 scanned, 78 decided, 823s
  line  1583  DECIDED  n>=0  1 branch(es)  [1/210, 10/3, 9/55, 7/5, 6655/2]
  line  1596  DECIDED  n>=0  1 branch(es)  [1/210, 9/55, 10/3, 7/5, 6655/2]
  line  1627  DECIDED  n>=2  1 branch(es)  [1/30, 12/539, 49/2, 5/7, 242/5]
  line  1634  DECIDED  n>=2  1 branch(es)  [1/30, 12/77, 7/2, 25/7, 242/5]
  line  1641  DECIDED  n>=0  1 branch(es)  [1/30, 14/3, 27/77, 5/7, 1089/2]
  line  1644  DECIDED  n>=0  1 branch(es)  [1/30, 14/3, 9/77, 10/7, 1815/2]
  line  1648  DECIDED  n>=1  1 branch(es)  [1/30, 147/2, 2/77, 25/7, 242/5]
  line  1650  DECIDED  n>=1  1 branch(es)  [1/30, 147/2, 2/77, 25/7, 9317/5]
  line  1655  DECIDED  n>=1  1 branch(es)  [1/30, 147/2, 4/539, 25/7, 22/5]
  line  1659  DECIDED  n>=0  1 branch(es)  [1/30, 15/77, 49/3, 4/7, 363/2]
  line  1672  DECIDED  n>=1  1 branch(es)  [1/30, 2/77, 147/2, 25/7, 242/5]
  line  1674  DECIDED  n>=1  1 branch(es)  [1/30, 2/77, 147/2, 25/7, 9317/5]
  line  1676  DECIDED  n>=2  1 branch(es)  [1/30, 2/77, 3087/2, 25/7, 22/5]
  line  1684  DECIDED  n>=2  1 branch(es)  [1/30, 21/2, 4/231, 5/7, 242/15]
  line  1686  DECIDED  n>=2  1 branch(es)  [1/30, 21/2, 4/77, 25/21, 242/5]
  line  1687  DECIDED  n>=2  1 branch(es)  [1/30, 21/2, 4/77, 25/7, 242/15]
  line  1690  DECIDED  n>=1  1 branch(es)  [1/30, 21/2, 4/77, 625/7, 22/5]
  line  1698  DECIDED  n>=0  1 branch(es)  [1/30, 245/3, 3/77, 4/7, 363/2]
  line  1700  DECIDED  n>=0  1 branch(es)  [1/30, 245/3, 3/77, 4/7, 9317/2]
    ... 1700/21233 scanned, 97 decided, 1017s
  line  1702  DECIDED  n>=0  1 branch(es)  [1/30, 245/3, 9/539, 4/7, 33/2]
  line  1705  DECIDED  n>=0  1 branch(es)  [1/30, 27/154, 28/3, 5/7, 33/2]
  line  1709  DECIDED  n>=0  1 branch(es)  [1/30, 27/77, 14/3, 50/7, 33/2]
  line  1710  DECIDED  n>=1  1 branch(es)  [1/30, 27/77, 28/3, 5/7, 165/2]
  line  1711  DECIDED  n>=0  1 branch(es)  [1/30, 28/3, 27/154, 5/7, 33/2]
  line  1712  DECIDED  n>=1  1 branch(es)  [1/30, 28/3, 27/77, 5/7, 165/2]
  line  1725  DECIDED  n>=0  1 branch(es)  [1/30, 3/77, 245/3, 4/7, 363/2]
  line  1727  DECIDED  n>=0  1 branch(es)  [1/30, 3/77, 245/3, 4/7, 9317/2]
  line  1729  DECIDED  n>=0  1 branch(es)  [1/30, 3087/2, 2/77, 25/7, 22/5]
  line  1730  DECIDED  n>=0  1 branch(es)  [1/30, 3087/5, 5/77, 4/7, 55/2]
  line  1738  DECIDED  n>=0  1 branch(es)  [1/30, 35/3, 9/77, 16/7, 33/2]
  line  1739  DECIDED  n>=0  1 branch(es)  [1/30, 35/3, 9/77, 4/35, 363/2]
  line  1746  DECIDED  n>=2  1 branch(es)  [1/30, 4/231, 21/2, 5/7, 242/15]
  line  1748  DECIDED  n>=1  1 branch(es)  [1/30, 4/539, 147/2, 25/7, 22/5]
  line  1751  DECIDED  n>=2  1 branch(es)  [1/30, 4/77, 21/2, 25/21, 242/5]
  line  1752  DECIDED  n>=2  1 branch(es)  [1/30, 4/77, 21/2, 25/7, 242/15]
  line  1755  DECIDED  n>=1  1 branch(es)  [1/30, 4/77, 21/2, 625/7, 22/5]
  line  1761  DECIDED  n>=1  1 branch(es)  [1/30, 4/77, 63/2, 75/7, 22/3]
  line  1767  DECIDED  n>=0  1 branch(es)  [1/30, 45/539, 49/3, 2/7, 363/2]
  line  1772  DECIDED  n>=0  1 branch(es)  [1/30, 45/77, 7/3, 4/7, 363/2]
  line  1776  DECIDED  n>=2  1 branch(es)  [1/30, 49/2, 12/539, 5/7, 242/5]
  line  1778  DECIDED  n>=1  1 branch(es)  [1/30, 49/2, 6/77, 25/7, 242/5]
  line  1783  DECIDED  n>=0  1 branch(es)  [1/30, 49/3, 15/77, 4/7, 363/2]
  line  1788  DECIDED  n>=0  1 branch(es)  [1/30, 49/3, 45/539, 2/7, 363/2]
  line  1802  DECIDED  n>=1  1 branch(es)  [1/30, 6/77, 49/2, 25/7, 242/5]
  line  1813  DECIDED  n>=1  1 branch(es)  [1/30, 63/2, 4/77, 75/7, 22/3]
  line  1818  DECIDED  n>=0  1 branch(es)  [1/30, 675/77, 7/3, 4/7, 33/2]
  line  1819  DECIDED  n>=0  1 branch(es)  [1/30, 686/3, 9/77, 10/7, 33/2]
  line  1823  DECIDED  n>=2  1 branch(es)  [1/30, 7/2, 12/77, 25/7, 242/5]
  line  1826  DECIDED  n>=2  1 branch(es)  [1/30, 7/2, 72/77, 25/7, 22/5]
  line  1829  DECIDED  n>=0  1 branch(es)  [1/30, 7/3, 45/77, 4/7, 363/2]
  line  1832  DECIDED  n>=0  1 branch(es)  [1/30, 7/3, 675/77, 4/7, 33/2]
  line  1835  DECIDED  n>=2  1 branch(es)  [1/30, 72/77, 7/2, 25/7, 22/5]
  line  1843  DECIDED  n>=0  1 branch(es)  [1/30, 9/539, 245/3, 4/7, 33/2]
  line  1845  DECIDED  n>=0  1 branch(es)  [1/30, 9/77, 14/3, 10/7, 1815/2]
  line  1855  DECIDED  n>=0  1 branch(es)  [1/30, 9/77, 35/3, 16/7, 33/2]
  line  1856  DECIDED  n>=0  1 branch(es)  [1/30, 9/77, 35/3, 4/35, 363/2]
  line  1857  DECIDED  n>=1  2 branch(es)  [1/30, 9/77, 686/3, 10/7, 33/2]
  line  1881  DECIDED  n>=3  1 branch(es)  [1/315, 175/22, 4/5, 3/2, 605/3]
  line  1891  DECIDED  n>=2  1 branch(es)  [1/315, 25/22, 6/5, 21/2, 605/3]
  line  1900  DECIDED  n>=3  1 branch(es)  [1/315, 4/5, 175/22, 3/2, 605/3]
    ... 1900/21233 scanned, 138 decided, 1409s
  line  1915  DECIDED  n>=2  1 branch(es)  [1/315, 6/5, 25/22, 21/2, 605/3]
  line  2070  DECIDED  n>=0  1 branch(es)  [1/45, 125/539, 98/5, 3/7, 55/2]
  line  2235  DECIDED  n>=0  1 branch(es)  [1/45, 25/539, 98/5, 3/7, 605/2]
  line  2271  DECIDED  n>=1  1 branch(es)  [1/45, 28/3, 75/22, 7/2, 99/7]
  line  2287  DECIDED  n>=0  1 branch(es)  [1/45, 343/3, 15/77, 2/7, 1089/2]
  line  2288  DECIDED  n>=0  1 branch(es)  [1/45, 343/3, 75/77, 2/7, 99/2]
  line  2344  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 15/14, 11/2, 441/11]
  line  2345  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 15/14, 121/2, 441/11]
  line  2346  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 15/14, 605/2, 63/11]
  line  2347  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 75/14, 121/2, 63/11]
  line  2348  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 825/14, 11/2, 63/11]
  line  2375  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 15/77, 2/7, 1089/2]
  line  2377  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 15/77, 20/7, 99/2]
  line  2378  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 15/77, 4/7, 1089/2]
  line  2379  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 150/77, 2/7, 99/2]
  line  2380  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 75/77, 4/7, 99/2]
  line  2473  DECIDED  n>=1  1 branch(es)  [1/45, 8/3, 15/14, 11/2, 441/11]
  line  2474  DECIDED  n>=1  1 branch(es)  [1/45, 8/3, 75/14, 11/2, 63/11]
  line  2497  DECIDED  n>=0  1 branch(es)  [1/45, 98/3, 75/77, 2/7, 99/2]
  line  2500  DECIDED  n>=0  1 branch(es)  [1/45, 98/5, 125/539, 3/7, 55/2]
    ... 2500/21233 scanned, 158 decided, 1688s
  line  2504  DECIDED  n>=0  1 branch(es)  [1/45, 98/5, 25/539, 3/7, 605/2]
  line  2598  DECIDED  n>=1  1 branch(es)  [1/6, 125/2, 22/35, 99/25, 14/11]
  line  2686  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 1375/2, 3/25, 1715/11]
  line  2688  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 1375/2, 3/25, 98/11]
  line  2690  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 1375/2, 99/25, 14/11]
  line  2691  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 15125/2, 9/25, 14/11]
  line  2692  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 15125/2, 9/55, 14/3]
  line  2706  DECIDED  n>=2  1 branch(es)  [1/6, 2/35, 275/2, 81/55, 14/3]
  line  2707  DECIDED  n>=2  1 branch(es)  [1/6, 2/35, 275/2, 9/55, 1715/3]
  line  2709  DECIDED  n>=2  1 branch(es)  [1/6, 2/35, 275/2, 9/55, 98/3]
  line  2738  DECIDED  n>=2  2 branch(es)  [1/6, 22/35, 125/2, 99/25, 14/11]
  line  2741  DECIDED  n>=2  2 branch(es)  [1/6, 22/35, 1375/2, 9/25, 14/11]
  line  2805  DECIDED  n>=1  2 branch(es)  [1/6, 3/35, 15125/3, 4/55, 21/2]
