alpha	beta	gamma	delta	eps	verdict	steps	drift	ceiling	cong	sieve_forb	sieve_tested	sieve_mass
1	-1	1	0	-1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	0	0	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	0	1	CYCLE	0	-0.635564	1.606695	3	0	0	0.000000
1	-1	1	0	2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	1	-1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	1	0	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	1	1	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	1	1	2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	2	-1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	2	0	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	1	2	1	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	1	2	2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	0	-2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	0	-1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	0	0	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	2	0	1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	0	2	HALT	4	-0.635564	1.606695		0	0	0.000000
1	-1	2	1	-2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	1	-1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	1	0	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	2	1	1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	1	2	CYCLE	3	-0.635564	1.606695		0	0	0.000000
1	-1	2	2	-2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	2	-1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	2	0	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	2	2	1	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	2	2	2	HALT	5	-0.635564	1.606695		0	0	0.000000
1	-1	3	0	-2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	3	0	-1	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	3	0	0	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	3	0	1	CYCLE	3	-0.635564	1.606695		0	0	0.000000
1	-1	3	0	2	CYCLE	2	-0.635564	1.606695		0	0	0.000000
1	-1	3	1	-2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	3	1	-1	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	3	1	0	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	3	1	1	HALT	5	-0.635564	1.606695		0	0	0.000000
1	-1	3	1	2	HALT	4	-0.635564	1.606695		0	0	0.000000
1	-1	3	2	-2	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	3	2	-1	CYCLE	0	-0.635564	1.606695		0	0	0.000000
1	-1	3	2	0	HALT	1	-0.635564	1.606695		0	0	0.000000
1	-1	3	2	1	HALT	12	-0.635564	1.606695		0	0	0.000000
1	-1	3	2	2	HALT	5	-0.635564	1.606695		0	0	0.000000
1	1	1	0	-2	HALT	1	0.401524	0.764500		7	9	0.373047
1	1	1	0	-1	CYCLE	0	0.401524	0.764500	3	8	9	0.748047
1	1	1	0	0	HALT	1	0.401524	0.764500		0	9	0.000000
1	1	1	0	1	HALT	2	0.401524	0.764500		0	9	0.000000
1	1	1	0	2	GROW	3000	0.401524	0.764500	3	8	9	0.748047
1	1	1	1	-2	HALT	1	0.401524	0.764500		5	9	0.060547
1	1	1	1	-1	CYCLE	0	0.401524	0.764500		7	9	0.623047
1	1	1	1	0	HALT	1	0.401524	0.764500		7	9	0.248047
1	1	1	1	1	HALT	2	0.401524	0.764500		6	9	0.123047
1	1	1	1	2	GROW	3000	0.401524	0.764500		7	9	0.810547
1	1	1	2	-2	HALT	1	0.401524	0.764500		7	9	0.248047
1	1	1	2	-1	CYCLE	0	0.401524	0.764500		6	9	0.560547
1	1	1	2	0	HALT	1	0.401524	0.764500		6	9	0.123047
1	1	1	2	1	HALT	2	0.401524	0.764500		6	9	0.404297
1	1	1	2	2	GROW	3000	0.401524	0.764500		6	9	0.560547
1	1	2	0	-2	CYCLE	0	0.401524	0.764500		8	9	0.748047
1	1	2	0	-1	HALT	1	0.401524	0.764500		0	9	0.000000
1	1	2	0	0	HALT	2	0.401524	0.764500		0	9	0.000000
1	1	2	0	1	GROW	3000	0.401524	0.764500		9	9	0.998047
1	1	2	0	2	HALT	16	0.401524	0.764500		0	9	0.000000
1	1	2	1	-2	CYCLE	0	0.401524	0.764500		4	9	0.572266
1	1	2	1	-1	HALT	1	0.401524	0.764500		4	9	0.146484
1	1	2	1	0	HALT	2	0.401524	0.764500		5	9	0.294922
1	1	2	1	1	GROW	3000	0.401524	0.764500		5	9	0.589844
1	1	2	1	2	HALT	4	0.401524	0.764500		5	9	0.181641
1	1	2	2	-2	CYCLE	0	0.401524	0.764500		7	9	0.623047
1	1	2	2	-1	HALT	1	0.401524	0.764500		5	9	0.294922
1	1	2	2	0	HALT	2	0.401524	0.764500		7	9	0.248047
1	1	2	2	1	HALT	4	0.401524	0.764500		5	9	0.589844
1	1	2	2	2	GROW	3000	0.401524	0.764500		6	9	0.123047
1	1	3	0	-2	HALT	1	0.401524	0.764500		6	9	0.123047
1	1	3	0	-1	HALT	2	0.401524	0.764500		7	9	0.373047
1	1	3	0	0	GROW	3000	0.401524	0.764500		8	9	0.748047
1	1	3	0	1	HALT	4	0.401524	0.764500		0	9	0.000000
1	1	3	0	2	HALT	1	0.401524	0.764500		0	9	0.000000
1	1	3	1	-2	HALT	1	0.401524	0.764500		6	9	0.404297
1	1	3	1	-1	HALT	2	0.401524	0.764500		5	9	0.060547
1	1	3	1	0	GROW	3000	0.401524	0.764500		7	9	0.623047
1	1	3	1	1	GROW	3000	0.401524	0.764500		7	9	0.248047
1	1	3	1	2	HALT	1	0.401524	0.764500		6	9	0.123047
1	1	3	2	-2	HALT	1	0.401524	0.764500		6	9	0.123047
1	1	3	2	-1	HALT	2	0.401524	0.764500		7	9	0.248047
1	1	3	2	0	GROW	3000	0.401524	0.764500		6	9	0.560547
1	1	3	2	1	GROW	3000	0.401524	0.764500		6	9	0.123047
1	1	3	2	2	HALT	1	0.401524	0.764500		6	9	0.404297
1	2	1	0	-2	CYCLE	0	0.700762	0.632250	3	7	9	0.373047
1	2	1	0	-1	HALT	1	0.700762	0.632250		0	9	0.000000
1	2	1	0	0	GROW	3000	0.700762	0.632250	6	0	9	0.000000
1	2	1	0	1	GROW	3000	0.700762	0.632250	3	8	9	0.498047
1	2	1	0	2	GROW	3000	0.700762	0.632250	4	0	9	0.000000
1	2	1	1	-2	CYCLE	0	0.700762	0.632250	4	3	9	0.072266
1	2	1	1	-1	HALT	1	0.700762	0.632250		4	9	0.146484
1	2	1	1	0	GROW	3000	0.700762	0.632250	6	5	9	0.294922
1	2	1	1	1	HALT	3	0.700762	0.632250		4	9	0.089844
1	2	1	1	2	GROW	3000	0.700762	0.632250	4	4	9	0.056641
1	2	1	2	-2	CYCLE	0	0.700762	0.632250	4	6	9	0.123047
