# orbit from a=1, round budget 400000000000
# visit  a  bits  exit_d  exit_m8  exc_base  exc_rounds  cum_base  cum_rounds  secs
visit 1  25  5  +4  3  8  8  8  8  0
visit 2  267  9  +5  3  97  79  105  87  0
visit 3  555  10  +5  3  117  95  222  182  0
visit 4  875  10  +5  3  134  103  356  285  0
visit 5  4057  12  +4  3  1366  1036  1722  1321  0
visit 6  4117  13  +1  3  35  18  1757  1339  0
visit 7  7347  13  +2  7  1370  1041  3127  2380  0
visit 8  8193  14  +4  7  364  274  3491  2654  0
visit 9  287025  19  +4  7  119119  89619  122610  92273  0
visit 10  1115307  21  +5  3  354648  266577  477258  358850  0
visit 11  1543835  21  +2  3  183849  137837  661107  496687  0
visit 12  1548537  21  +4  3  2002  1492  663109  498179  0
visit 13  1997361  21  +4  7  192455  144099  855564  642278  0
visit 14  10429809  24  +4  7  3614232  2710625  4469796  3352903  0
visit 15  13919403  24  +2  3  1495644  1121791  5965440  4474694  0
visit 16  20473817  25  +4  3  2808954  2106838  8774394  6581532  0
visit 17  26958565  25  +1  3  2781491  2084629  11555885  8666161  0
visit 18  126761163  27  +5  3  42775706  32081526  54331591  40747687  0
visit 19  203883385  28  +4  3  33049189  24787315  87380780  65535002  0
visit 20  10396804435  34  +2  7  4368337326  3276284846  4455718106  3341819848  44
visit 21  34568841131  36  +2  3  10359456837  7769584182  14815174943  11111404030  151
visit 22  49837329461  36  +1  3  6543687266  4907715949  21358862209  16019119979  215
visit 23  63638826347  36  +2  3  5914967584  4436195012  27273829793  20455314991  277
visit 24  97335405435  37  +5  3  14441377668  10831029841  41715207461  31286344832  422
visit 25  189400005137  38  +4  7  39456416785  29592229307  81171624246  60878574139  840
visit 26  261442166379  38  +2  3  30875133522  23156405176  112046757768  84034979315  1198
visit 27  578462733003  40  +5  3  135865977418  101899433722  247912735186  185934413037  2524
visit 28  1062242668359  40  -1  3  207334511170  155500650718  455247246356  341435063755  4427
BUDGET-EXHAUSTED mid-excursion from a=1062242668359 after 58564936245 rounds (78086434775 base steps into it); cum_base=533333681131 cum_rounds=400000000000
